[webapp:989-exec-10] [2026-03-27 00:00:43,943] [DEBUG  ]: [LegacyRestRepository.java::sendRequest:57] Calling to perl code [UserSession::getUserSession] 
[1433573] [7678b97ed0] [2026-03-27 00:00:43,983] [debug  ]: [/lib/FireFlow/AuthenticationUtils.pm::verifyOrPerformAuth:94] WebService: verifyOrPerformAuth function - going to IssueHTTPRequest to the following URL  - https://127.0.0.1/FireFlow/SelfService/CheckAuthentication 
[webapp:1989-exec-2] [2026-03-27 00:00:43,991] [DEBUG  ]: [HealthService.java::checkWorkers:43] Number of fireflow workers: 6
[1312864] [e0974e9f0e] [2026-03-27 00:00:44,047] [debug  ]: [/lib/FireFlow/FABridge.pm::IssueMetroCall:6170] session is not required for command [config/all/noauth]
[1312864] [e0974e9f0e] [2026-03-27 00:00:44,049] [debug  ]: [/lib/FireFlow/FABridge.pm::IssueMetroCall:6229] Issue metro call, url=[https://localhost:443/afa/external/config/all/noauth], method=[get]
[1312864] [e0974e9f0e] [2026-03-27 00:00:44,049] [debug  ]: [/lib/FireFlow/FABridge.pm::getRequest:153] RestClient get: [https://localhost:443/afa/external//config/all/noauth?domain=0]
[1312864] [e0974e9f0e] [2026-03-27 00:00:44,074] [debug  ]: [/lib/FireFlow/FABridge.pm::openResponse:299] Decoding response content as json
[1312864] [e0974e9f0e] [2026-03-27 00:00:44,076] [debug  ]: [/lib/FireFlow/FABridge.pm::IssueMetroCall:6263] IssueMetroCall command [config/all/noauth] output as json: ##JSON## {"DB_host":"localhost","last_administrator":"admin","DB_user":"afa","DB_name":"afa","BUSINESSFLOW_ADDRESS":"localhost","FireFlow_configured":"yes","Use_SSO":"no","APPVIZCLOUD_ENABLED":"yes","System_Users":"FireFlow_batch,Backup_user","FIREFLOW_ADDRESS":"localhost","Use_Work_Flow":"yes","LDAP_AssociatedRoles":"yes","Disable_Monitoring":"no","WEBGUI_SESSION_LENGTH":"300","LDAP_FetchData":"no"}
[1312864] [e0974e9f0e] [2026-03-27 00:00:44,079] [debug  ]: [/lib/RT/User_Vendor.pm::IsPassword:285] IsPassword: user [Backup_user] checking auth methods: [AFA], "only check authentication" flag - 0
[1312864] [e0974e9f0e] [2026-03-27 00:00:44,080] [info   ]: [/lib/FireFlow/FABridge.pm::postRequest:183] RestClient post: [https://localhost:443/fa/server/connection/login]
[1312864] [e0974e9f0e] [2026-03-27 00:00:44,080] [debug  ]: [/lib/FireFlow/FABridge.pm::_print_request_body:212] RestClient post body: [username=Backup_user&password=********&domain=&fullInfo=true]
[webapp:Scheduler16] [2026-03-27 00:00:45,927] [DEBUG  ]: [FaPasswordCoreService.java::reloadFaKeyFileOld:53] file /home/afa/.fa/.fa_key.old does not exist - fa key won't be loaded
[webapp:kScheduler5] [2026-03-27 00:00:45,927] [DEBUG  ]: [FaPasswordCoreService.java::reloadFaKeyFile:30] loading fa_key file: /home/afa/.fa/.fa_key
[1312864] [e0974e9f0e] [2026-03-27 00:00:50,602] [debug  ]: [/lib/FireFlow/FABridge.pm::openResponse:299] Decoding response content as json
[1312864] [e0974e9f0e] [2026-03-27 00:00:50,605] [info   ]: [/lib/FireFlow/FABridge.pm::IssueFAServerLogin:588] Successful AFA login for Backup_user in the domain: []
[1312864] [e0974e9f0e] [2026-03-27 00:00:50,606] [info   ]: [/lib/FireFlow/HTTPUtils.pm::SetCookie:150] Adding header Set-Cookie to response with value: PHPSESSID=
[1312864] [e0974e9f0e] [2026-03-27 00:00:50,607] [info   ]: [/lib/FireFlow/FABridge.pm::_issuePostToAfa:388] _issuePostToAfa will call /storeFireflowCookie
[1312864] [e0974e9f0e] [2026-03-27 00:00:50,608] [debug  ]: [/lib/FireFlow/FABridge.pm::IssueMetroCall:6229] Issue metro call, url=[https://localhost:443/afa/external/bridge/storeFireflowCookie], method=[post]
[1312864] [e0974e9f0e] [2026-03-27 00:00:50,608] [info   ]: [/lib/FireFlow/FABridge.pm::postRequest:183] RestClient post: [https://localhost:443/afa/external//bridge/storeFireflowCookie?domain=0&session=n575jpek15o99ispded4d5smrv?domain=0&session=n575jpek15]
